 ========================================================================
 Mesh information:
 Nx = 101
 Ny =  21
  
 Slab / Billet dimensions:
 X(m) =       1.0000
 Y(m) =       0.2000
                                                                         
                                                                         
 ========================================================================
              Time(s)   Thickness in X(m)   Thickness in Y(m)
             806.0000              0.1518              0.0827
             808.0000              0.1522              0.0829
             810.0000              0.1530              0.0831
             812.0000              0.1545              0.0833
             814.0000              0.1556              0.0835
             816.0000              0.1564              0.0838
             818.0000              0.1568              0.0841
             820.0000              0.1573              0.0844
             822.0000              0.1582              0.0848
             824.0000              0.1598              0.0851
             826.0000              0.1608              0.0852
             828.0000              0.1617              0.0853
             830.0000              0.1621              0.0855
             832.0000              0.1628              0.0856
             834.0000              0.1641              0.0857
             836.0000              0.1656              0.0859
             838.0000              0.1665              0.0860
             840.0000              0.1672              0.0862
             842.0000              0.1680              0.0863
             844.0000              0.1694              0.0865
             846.0000              0.1708              0.0866
             848.0000              0.1719              0.0868
             850.0000              0.1726              0.0869
             852.0000              0.1737              0.0870
             854.0000              0.1755              0.0871
             856.0000              0.1767              0.0873
             858.0000              0.1777              0.0875
             860.0000              0.1789              0.0876
             862.0000              0.1807              0.0879
             864.0000              0.1821              0.0881
             866.0000              0.1833              0.0884
             868.0000              0.1849              0.0888
             870.0000              0.1866              0.0892
             872.0000              0.1883              0.0897
             874.0000              0.1897              0.0901
             876.0000              0.1918              0.0904
             878.0000              0.1936              0.0907
             880.0000              0.1956              0.0910
             882.0000              0.1979              0.0913
             884.0000              0.1998              0.0916
             886.0000              0.2028              0.0920
             888.0000              0.2050              0.0923
             890.0000              0.2087              0.0927
             892.0000              0.2123              0.0931
             894.0000              0.2169              0.0935
             896.0000              0.2230              0.0941
             898.0000              0.2317              0.0949
             900.0000              0.2458              0.0970
             902.0000              0.2817              0.0992
             904.0000              0.5000              0.1000
             906.0000              0.5000              0.1000
             908.0000              0.5000              0.1000
             910.0000              0.5000              0.1000
             912.0000              0.5000              0.1000
             914.0000              0.5000              0.1000
             916.0000              0.5000              0.1000
             918.0000              0.5000              0.1000
             920.0000              0.5000              0.1000
             922.0000              0.5000              0.1000
             924.0000              0.5000              0.1000
             926.0000              0.5000              0.1000
             928.0000              0.5000              0.1000
             930.0000              0.5000              0.1000
             932.0000              0.5000              0.1000
             934.0000              0.5000              0.1000
             936.0000              0.5000              0.1000
             938.0000              0.5000              0.1000
             940.0000              0.5000              0.1000
             942.0000              0.5000              0.1000
             944.0000              0.5000              0.1000
             946.0000              0.5000              0.1000
             948.0000              0.5000              0.1000
             950.0000              0.5000              0.1000
             952.0000              0.5000              0.1000
             954.0000              0.5000              0.1000
             956.0000              0.5000              0.1000
             958.0000              0.5000              0.1000
             960.0000              0.5000              0.1000
             962.0000              0.5000              0.1000
             964.0000              0.5000              0.1000
             966.0000              0.5000              0.1000
               0.0000              0.0000              0.0000
