 ========================================================================
 Mesh information:
 Nx = 101
 Ny =  21
  
 Slab / Billet dimensions:
 X(m) =       1.0000
 Y(m) =       0.2000
                                                                         
                                                                         
 ========================================================================
              Time(s)   Thickness in X(m)   Thickness in Y(m)
             902.0000              0.2273              0.0963
             904.0000              0.2354              0.0972
             906.0000              0.2493              0.0981
             908.0000              0.2856              0.0992
             910.0000              0.5000              0.1000
             912.0000              0.5000              0.1000
             914.0000              0.5000              0.1000
             916.0000              0.5000              0.1000
             918.0000              0.5000              0.1000
             920.0000              0.5000              0.1000
             922.0000              0.5000              0.1000
             924.0000              0.5000              0.1000
             926.0000              0.5000              0.1000
             928.0000              0.5000              0.1000
             930.0000              0.5000              0.1000
             932.0000              0.5000              0.1000
             934.0000              0.5000              0.1000
             936.0000              0.5000              0.1000
             938.0000              0.5000              0.1000
             940.0000              0.5000              0.1000
             942.0000              0.5000              0.1000
             944.0000              0.5000              0.1000
             946.0000              0.5000              0.1000
             948.0000              0.5000              0.1000
             950.0000              0.5000              0.1000
             952.0000              0.5000              0.1000
             954.0000              0.5000              0.1000
             956.0000              0.5000              0.1000
             958.0000              0.5000              0.1000
             960.0000              0.5000              0.1000
             962.0000              0.5000              0.1000
             964.0000              0.5000              0.1000
             966.0000              0.5000              0.1000
             967.2000              0.5000              0.1000
               0.0000              0.0000              0.0000
